,Text,Label
0,LGBT: Covid-19 forced me back home where I'm 'unwanted',Real
1,Coronavirus: Brazil now fourth-highest nation in Covid-19 deaths,Real
2,Coronavirus: The misinformation circulating in Africa about Covid-19,Real
3,Coronavirus: How Turkey took control of Covid-19 emergency,Real
4,Friday's gossip: Werner's Chelsea move delayed by Covid-19,Real
5,Player who tested positive for Covid-19 now negative - Norwich,Real
6,Moscow more than doubles city's Covid-19 death toll,Real
7,Mumbai: How Covid-19 has ravaged India's richest city,Real
8,Coronavirus: Brazil judge orders Bolsonaro to publish full data,Real
9,Coronavirus: India to use 500 train carriages as wards in Delhi,Real
10,Novak Djokovic: World number one becomes latest tennis player to test positive for coronavirus,Real
11,How coronavirus tore through Britain's ethnic minorities,Real
12,Coronavirus and poverty: Is there a link?,Real
13,Coronavirus: Iran fears second wave after surge in cases,Real
14,Why this doctor's phone is her coronavirus helpline,Real
15,Navajo Nation: The people battling America's worst coronavirus outbreak,Real
16,"Coronavirus: Brazil becomes second country to pass 50,000 deaths",Real
17,Coronavirus: Trump terminates US relationship with WHO,Real
18,EFL: Threat of clubs going bust because of coronavirus not gone away - Rick Parry,Real
19,Coronavirus: How Covid-19 has changed the 'big fat Indian wedding',Real
20,Coronavirus: How map hacks and buttocks helped Taiwan fight Covid-19,Real
21,Dimitrov tests positive for coronavirus after playing in Adria Tour,Real
22,Coronavirus: Technicians held in Peru over false 5G Covid links,Real
23,Rapinoe withdraws from NWSL event amid coronavirus fears,Real
24,Coronavirus: Five reasons why it is so bad in Yemen,Real
25,Coronavirus: How a false rumour led to hate online,Real
26,Coronavirus: Italy prosecutors to quiz PM Conte on crisis,Real
27,Coronavirus: UN condemns Afghan healthcare attacks amid pandemic,Real
28,Coronavirus: France's ancient burial brotherhood defies Covid-19,Real
29,Coronavirus in Africa: Has Covid-19 disappeared from Tanzania?,Real
30,Coronavirus: Rugby league returns to Australia despite Covid-19 fears,Real
31,Coronavirus: Alarm over 'invasive' Kuwait and Bahrain contact-tracing apps,Real
32,Premier League confirms one positive coronavirus test,Real
33,Coronavirus in DR Congo captured on camera,Real
34,New Zealand's first Covid cases in 24 days came from UK,Real
35,Donald Trump: TikTok users and K-pop fans said to be behind poor Tulsa turnout,Real
36,Cornavirus: Can track and trace deliver? And can we trust it?,Real
37,Denmark's PM cancels wedding to attend EU summit,Real
38,"Coronavirus: Return to Lombardy, the 'Wuhan of the West'",Real
39,Coronavirus: Looking for viruses in Thai bats,Real
40,Coronavirus: Nightmare spreads through Russia's care homes,Real
41,Australia caps toilet roll sales in new panic-buying,Real
42,Formula 1's cost-cutting proposals approved by FIA,Real
43,Coronavirus: Satellite traffic images may suggest virus hit Wuhan earlier,Real
44,'I did a little dance': Ardern confirms New Zealand is free of Covid-19,Real
45,"Coronavirus: WHO advises to wear masks in public areas, reversing policy",Real
46,Coronavirus: 'Very significant' resurgences in Europe alarm WHO,Real
47,Coronavirus: Madagascar minister fired over $2m lollipop order,Real
48,Coronavirus: Coming to terms with months on the front line,Real
49,Coronavirus: Fear of second wave in Beijing after market outbreak,Real
50,Germany coronavirus: Extra police enforce German tower block quarantine,Real
51,Spain's World Cup-winning captain Casillas ends Spanish FA presidency bid,Real
52,Coronavirus: Singapore bans Britons for lockdown 'bar crawl',Real
53,Coronavirus pandemic set to cost Premier League clubs £1bn in 2019-20 - Deloitte,Real
54,Demands grow for 'green industrial revolution',Real
55,Coronavirus: Violence mars Paris protest for health workers,Real
56,Coronavirus: Contact-tracing rumours debunked,Real
57,'Heartbroken' Mayer to miss Las Vegas boxing return after positive test,Real
58,"Coronavirus: Qantas to axe 6,000 jobs due to pandemic",Real
59,Whyte-Povetkin to close Hearn garden shows,Real
60,Greta Thunberg: Climate change 'as urgent' as coronavirus,Real
61,Coronavirus: Spain welcomes tourists back as emergency ends,Real
62,Rethink: Caleb Femi says 'creative thinking' is key to students' future,Real
63,Swimming pools should reopen for physical and mental health - Peaty,Real
64,Coronavirus: Sweden says WHO made 'total mistake' by including it in warning,Real
65,"Coronavirus: Australia sends 1,000 army personnel to Victoria to fight outbreak",Real
66,Tokyo 2020: Olympics will be 'simplified' in 2021,Real
67,Djokovic's coach Ivanisevic has coronavirus,Real
68,Coronavirus: Hard-hit Brazil removes data amid rising death toll,Real
69,Coronavirus: Sweden's Tegnell admits too many died,Real
70,New Zealand great Carter joins Auckland's Blues,Real
71,North Korea shuts down hotline with South in row over leafleting,Real
72,Greg Glassman: Brands cut ties over CrossFit CEO's George Floyd tweet,Real
73,Coronavirus: US withdraws emergency use of hydroxychloroquine,Real
74,Coronavirus: Hundreds of Polish infections linked to mine,Real
75,"Japanese supercomputer, crowned world's fastest, is fighting coronavirus",Real
76,"Trump's Oklahoma rally can go ahead, court rules",Real
77,Coronavirus in South Africa: Eight lessons for the rest of the continent,Real
78,Coronavirus: Bill Gates ‘microchip’ conspiracy theory and other vaccine claims fact-checked,Real
79,How Europe's art world is welcoming back visitors,Real
80,Coronavirus: How pandemic turned political in Brazil,Real
81,'Cashpoint aid' and Africa: Who benefits?,Real
82,Rethink: Tara Westover says 'We are one people and are all needed',Real
83,Rethink: Will companies help us improve our sleep habits?,Real
84,Our masked identities: Cartoons of India's new normal,Real
85,McIlroy's caddie goes into US quarantine before PGA Tour return,Real
86,Coronavirus: France announces significant lifting of restrictions,Real
87,Coronavirus vaccine: AstraZeneca boosts potential supply to 2bn,Real
88,Week in pictures: 30 May - 5 June 2020,Real
89,In pictures: Global protests against racism and police brutality,Real
90,West Indies become first international team to arrive in UK since lockdown,Real
91,'Crime' to stage Ryder Cup without fans - US captain Stricker,Real
92,France's Macron set for Covid test in local vote,Real
93,Tanzania's Magufuli - taking on coronavirus and imperialism,Real
94,'My best friend was killed in the protests - I'm marching for him',Real
