,Text,Label
0,American Vice-President Mike Pence was caught on a hot mic delivering empty boxes of PPE to a nursing home and pretended they were heavy.,Fake
1,Australia’s COVIDSafe app tracks users’ locations.,Fake
2,Madagascar has found a “coronavirus medicine” that can “wipe out the virus at any stage within a period of six days.”,Fake
3,A video shows a Maasai tribe member in Kenya whipping people who violate the country’s curfew during the coronavirus pandemic.,Fake
4,A widely-circulated image claims to reveal the ingredients contained in this year’s flu shots. The alleged ingredients include mercury antifreeze phenol animal blood animal viruses and formaldehyde.,Fake
5,Messages linking scientist Bing Liu’s death to “very significant findings” about the coronavirus he was supposedly about to make at the University of Pittsburgh.,Fake
6,“Dr. Fauci sat on Microsoft’s board of directors.”,Fake
7,Two doctors in Bakersfield California said at a press conference that isolation measures affect the immune system and that unrestrictive controls in countries like Sweden have worked.,Fake
8,The origin of the novel coronavirus was “manipulated” contain coronaviruses and masks can “reinfect” wearers.,Fake
9,Due to the pandemic measures in Turkey landlords cannot terminate their contract even if you can not pay your rent.,Fake
10,A video shows British Prime Minister Boris Johnson serving journalists tea after recovering from COVID-19.,Fake
11,COVID-19 is an exosome and the pandemic is related to 5G signals.,Fake
12,Scientists discovered a new and more contagious strain of the coronavirus.,Fake
13,Information on children rescued from underground tunnels in New York and Los Angeles.,Fake
14,“Trump bailed out Wall Street but not Main Street.”,Fake
15,Models projecting COVID-19 deaths “are talking about without mitigation.”,Fake
16,“Plandemic” vignette featuring Judy Mikovits claims that coronavirus is manmade; that flu vaccine increases risk of COVID-19; that hydroxychloroquine is effective for treating COVID-19.,Fake
17,“There was no real scientific basis for believing that” social distancing would be necessary “since it had never been studied.”,Fake
18,Trump campaign video suggesting Trump’s travel restrictions on China saved 2 million lives.,Fake
19,The Centers for Disease and Prevention has reduced the number of COVID-19 cases recorded in the U.S.,Fake
20,A photo shows Proud Boys member Rob Cantrall at a recent Michigan protest.,Fake
21,Regarding the risks of coronavirus transmission on an airplane “It’s as safe as an environment as you’re going to find.”,Fake
22,Trump: “Medically we had empty cupboards. The cupboards — I say the cupboards were empty.”,Fake
23,Central Park hospital tents housed thousands of abused children released from underground captivity.,Fake
24,Joe Biden has “written a letter of apology” for calling Trump’s travel restrictions from China “xenophobic.”,Fake
25,Gas is under $1 in 13 states but $2.27 in Pennsylvania because of the governor.,Fake
26,“A shift in world politics published a dossier collected by the intelligence services of the United States great Britain Canada Australia and New Zealand (Five Eyes). Intelligence data fills in some white spots in the history of COVID-19 distribution and it is shocking!”,Fake
27,Kentucky teachers will conduct in-home “bedroom inspections” during the week of April 27 for their kindergarten through eighth grade students.,Fake
28,Image shows a packed beach in Bloemfontein South Africa during the country’s coronavirus lockdown.,Fake
29,Under the mayor’s COVID-19 order Kansas City “churchgoers must register with the government.”,Fake
30,Social media users have shared a photo that claims to show a “Center for Global Human Population Reduction” affiliated with the Bill & Melinda Gates Foundation.,Fake
31,People come to your house offer you to try a mask which is in fact full of chemicals. This gets you asleep and these people rob you.,Fake
32,American president Donald Trump announced that tests of injection of disinfectant to fight against the new coronavirus will begin in Africa.,Fake
33,The White House is selling coins commemorating the COVID-19 pandemic.,Fake
34,Madagascar does not have any cases of the coronavirus,Fake
35,South African President Cyril Ramaphosa asked all foreigners to leave the country by June 21 in response to the spread of COVID-19.,Fake
36,Video shows the FBI seizing coronavirus-infected face masks sent from China,Fake
37,Georgia Gov. Brian Kemp “mandates restaurants reopen”.,Fake
38,“Governor Andy Beshear has authorized Kentucky teachers to make in-home visits. With parental approval teachers will inspect the bedroom of each student currently enrolled in K-8.”,Fake
39,CDC does not recommend wearing masks.,Fake
40,President Donald Trump is selling coronavirus-themed commemorative coins through the White House Gift Shop.,Fake
41,Walmart Amazon Kroger Target and Costco “have not had any reported (coronavirus) cases in the news.”,Fake
42,News outlets are misusing a boy’s image to report the same child died of COVID-19 in three different countries.,Fake
43,Donald Trump’s claim that the USA had more testing than all other countries combined.,Fake
44,“So 2 doctors from Bakersfield discover that coronavirus mortality rate is 0.03%. 13x less deadly than what was previously thought! Their analysis has since been banned from YouTube.”,Fake
45,Walmart Kroger Amazon Target and Costco had no reported cases of coronavirus in the news.,Fake
46,Sign outside the Bill & Melinda Gates Foundation says “Center for Global Human Population Reduction.”,Fake
47,Coronavirus mortality rate been proven to be 0.03%.,Fake
48,Walmart Amazon Kroger Target and Costco stores — while staying open during the COVID-19 pandemic — “have not had any reported cases” of employees contracting the coronavirus.,Fake
49,Late herbalist known as “Dr. Sebi” was correct in saying viruses don’t exist.,Fake
